Vehicle Type,Pickup Location,Drop Location,Ride Distance
Auto,Model Town,Rithala,null
Go Sedan,Satguru Ram Singh Marg,Sushant Lok,4.96
Go Sedan,INA Market,Netaji Subhash Place,null
Bike,Nirman Vihar,Hero Honda Chowk,12.29
Auto,Chandni Chowk,Noida Sector 62,7.29
Go Mini,Karol Bagh,Chandni Chowk,44.75
Go Sedan,Chandni Chowk,IFFCO Chowk,46.07
Premier Sedan,Nirman Vihar,Pragati Maidan,null
Auto,Pitampura,Botanical Garden,null
Auto,Moolchand,Punjabi Bagh,22.75
Auto,Sonipat,Dwarka Sector 21,31.3
eBike,Khandsa,Faridabad Sector 15,11.62
Go Sedan,Rajouri Garden,Rohini,null
Go Mini,Shahdara,New Delhi Railway Station,27.19
Go Sedan,Khandsa,Huda City Centre,10.34
Premier Sedan,India Gate,Ghitorni Village,5.24
Auto,Connaught Place,Sushant Lok,31.52
Auto,Ashok Park Main,Kashmere Gate ISBT,19.44
Auto,Sushant Lok,Botanical Garden,32.47
eBike,Mansarovar Park,Keshav Puram,null
Bike,Lok Kalyan Marg,Govindpuri,39.56
Premier Sedan,Vatika Chowk,Okhla,null
Go Sedan,Cyber Hub,MG Road,null
Bike,Badarpur,Ghitorni Village,33.54
Go Sedan,Bhikaji Cama Place,ITO,6.69
eBike,Ghitorni,Old Gurgaon,20.15
Bike,IIT Delhi,Vatika Chowk,8.4
Go Mini,Peeragarhi,IIT Delhi,null
Auto,Jama Masjid,IFFCO Chowk,21.07
Go Sedan,Noida Film City,Badshahpur,null
Premier Sedan,Vatika Chowk,Bahadurgarh,12.52
Auto,Rajouri Garden,Tughlakabad,43.87
Go Sedan,Madipur,South Extension,null
Auto,Greater Noida,Badarpur,32.54
Go Sedan,Indraprastha,Welcome,16.85
Premier Sedan,Jahangirpuri,Kirti Nagar,30.16
Premier Sedan,Raj Nagar Extension,Seelampur,46.99
Auto,Jor Bagh,Madipur,30.43
Go Sedan,Lok Kalyan Marg,New Colony,null
Auto,GTB Nagar,Rohini West,null
Bike,South Extension,Faridabad Sector 15,42.68
Auto,Bahadurgarh,Manesar,20.76
Go Sedan,Ramesh Nagar,Jasola,6.58
Auto,Sadar Bazar Gurgaon,Green Park,16.41
Premier Sedan,Sadar Bazar Gurgaon,Paschim Vihar,10.89
Go Mini,DLF Phase 3,Raj Nagar Extension,null
Uber XL,Ashram,Noida Sector 62,49.26
Premier Sedan,Golf Course Road,Vaishali,46.6
Go Sedan,Rohini West,Qutub Minar,16.76
Premier Sedan,Vidhan Sabha,Shastri Nagar,45.71
Auto,Sadar Bazar Gurgaon,Greater Noida,8.34
Go Mini,Green Park,Sohna Road,null
Bike,Kalkaji,Nehru Place,null
Auto,Indraprastha,Gurgaon Sector 56,4.6
Uber XL,Pulbangash,Greater Noida,48.84
Bike,Shivaji Park,Greater Kailash,null
Go Sedan,Greater Noida,New Colony,34.83
Auto,Kirti Nagar,Sushant Lok,27.67
Premier Sedan,Indirapuram,Vatika Chowk,21.68
Go Mini,Paharganj,Vishwavidyalaya,null
Auto,Mundka,Noida Sector 62,5.27
Go Mini,Peeragarhi,Patel Chowk,2.65
Go Sedan,Tughlakabad,IGNOU Road,null
eBike,Shivaji Park,Azadpur,15.33
Bike,Udyog Bhawan,Raj Nagar Extension,48.96
Auto,Kaushambi,Pitampura,5.11
Bike,Samaypur Badli,Paschim Vihar,35.76
Bike,Green Park,Jama Masjid,36.19
Go Mini,RK Puram,ITO,null
Premier Sedan,Central Secretariat,India Gate,18.15
Premier Sedan,Pragati Maidan,RK Puram,18.58
Bike,Khandsa,Paharganj,null
Go Sedan,Central Secretariat,Lok Kalyan Marg,43.05
Auto,Raj Nagar Extension,Saket,42.69
Auto,Rajiv Nagar,Model Town,null
Auto,Shivaji Park,Rohini,48.98
eBike,Kadarpur,Ghaziabad,37.9
Go Mini,Rohini East,Ashram,49.3
Go Mini,Hauz Rani,Kirti Nagar,null
Premier Sedan,Model Town,Jahangirpuri,18.49
Premier Sedan,Vishwavidyalaya,Tagore Garden,null
Auto,Maidan Garhi,Golf Course Road,33.22
Auto,Huda City Centre,IIT Delhi,null
Auto,Sarojini Nagar,Govindpuri,null
Uber XL,Azadpur,Saket,null
Auto,Dilshad Garden,Rajiv Nagar,2.38
Auto,INA Market,Civil Lines Gurgaon,34.2
Go Sedan,RK Puram,Delhi Gate,3.59
Go Sedan,Azadpur,Karol Bagh,30.56
Go Sedan,Sikanderpur,Ashok Park Main,13.69
Bike,Kherki Daula Toll,Mansarovar Park,45.56
Go Mini,Gurgaon Sector 29,Mayur Vihar,null
Bike,MG Road,Vatika Chowk,42.16
Auto,Subhash Nagar,Shivaji Park,38.28
Auto,Vasant Kunj,Central Secretariat,null
Bike,New Delhi Railway Station,IMT Manesar,31.51
Auto,Kashmere Gate,Panipat,null
Auto,Delhi Gate,Preet Vihar,42.45
eBike,Patel Chowk,Jor Bagh,16.06
Go Sedan,Old Gurgaon,Ghitorni Village,null
Bike,Sarojini Nagar,Rajiv Nagar,38.24
Auto,Ashok Park Main,Noida Extension,22.13
Go Sedan,Narsinghpur,Indirapuram,null
Go Mini,Mansarovar Park,Faridabad Sector 15,20.08
Bike,Rithala,Faridabad Sector 15,null
Bike,Peeragarhi,Laxmi Nagar,45.98
Go Mini,Manesar,ITO,10.94
Auto,Moti Nagar,Punjabi Bagh,49.84
Premier Sedan,New Delhi Railway Station,Rohini West,24.97
Premier Sedan,Pitampura,Kashmere Gate,32.94
Go Sedan,New Delhi Railway Station,Arjangarh,22.9
Go Sedan,Tughlakabad,Chandni Chowk,29.53
Auto,Ghitorni,Ashok Park Main,32.84
Auto,Kalkaji,Model Town,3.77
Premier Sedan,Huda City Centre,Shahdara,24.12
Go Mini,IMT Manesar,Kashmere Gate ISBT,38.01
Auto,Bhikaji Cama Place,RK Puram,1.67
Premier Sedan,Jor Bagh,India Gate,14.39
Auto,IGI Airport,Sarai Kale Khan,7.33
Go Mini,Green Park,Kadarpur,38.63
Go Mini,Green Park,Khan Market,42.13
Go Sedan,Ashram,Ambience Mall,24.16
Go Sedan,Kherki Daula Toll,DLF Phase 3,33.08
Bike,Khandsa,Lok Kalyan Marg,45.13
Go Sedan,Chhatarpur,Ardee City,14.15
Bike,Mehrauli,AIIMS,null
Auto,Ghaziabad,Sarojini Nagar,9.9
Auto,Manesar,AIIMS,6.09
Go Mini,IMT Manesar,Rajiv Chowk,25.68
Auto,Subhash Nagar,Greater Noida,5.41
Bike,Shivaji Park,Vishwavidyalaya,44.05
Bike,AIIMS,Paharganj,null
Bike,Pragati Maidan,Punjabi Bagh,16.64
Bike,Dwarka Sector 21,Akshardham,9.56
Premier Sedan,Manesar,Madipur,32.47
Auto,IGNOU Road,Botanical Garden,null
Uber XL,Ghitorni,Saidulajab,22.96
Auto,Noida Sector 18,Kherki Daula Toll,null
Premier Sedan,Moti Nagar,Nehru Place,39.7
Go Sedan,Civil Lines Gurgaon,Kirti Nagar,34.5
Go Sedan,South Extension,Chirag Delhi,22.24
Go Mini,Karol Bagh,Adarsh Nagar,23.13
Bike,Jhilmil,Keshav Puram,39.31
Auto,Kirti Nagar,MG Road,49.17
Auto,Kalkaji,Ghitorni Village,46.22
Auto,Shivaji Park,Jahangirpuri,null
Bike,Anand Vihar ISBT,Greater Kailash,22.06
Premier Sedan,Dilshad Garden,Civil Lines Gurgaon,null
Auto,Manesar,Kashmere Gate ISBT,null
Bike,Huda City Centre,Jama Masjid,23.98
Bike,Nehru Place,Delhi Gate,null
Premier Sedan,Samaypur Badli,Cyber Hub,45.72
Go Mini,Jor Bagh,Shastri Nagar,5.57
Go Mini,Keshav Puram,Kashmere Gate,7.6
Go Mini,Subhash Chowk,Basai Dhankot,null
Premier Sedan,Gurgaon Sector 29,Indraprastha,3.02
Go Mini,Vaishali,Tis Hazari,null
Premier Sedan,Saket,Model Town,null
Go Sedan,New Delhi Railway Station,Hauz Khas,14.95
Auto,Preet Vihar,Kanhaiya Nagar,7.76
Premier Sedan,Sohna Road,Nehru Place,null
Go Sedan,Maidan Garhi,Paharganj,7.95
Go Sedan,Mundka,GTB Nagar,null
Bike,Bhikaji Cama Place,Khandsa,44.57
Go Sedan,ITO,Badshahpur,10.81
Go Mini,Khandsa,Shahdara,8.39
Bike,INA Market,Rithala,24.44
Auto,MG Road,Shahdara,23.63
Auto,Gurgaon Railway Station,Mundka,48.74
Premier Sedan,Akshardham,Nirman Vihar,26.74
Premier Sedan,Madipur,Tilak Nagar,null
Premier Sedan,Shahdara,Rajiv Nagar,null
Auto,Delhi Gate,Chirag Delhi,37.39
Go Mini,Anand Vihar ISBT,IGI Airport,null
Go Sedan,Shivaji Park,Bhikaji Cama Place,null
Go Mini,Preet Vihar,Chirag Delhi,13.98
Auto,Patel Chowk,Golf Course Road,34.07
Go Sedan,Janakpuri,Lal Quila,43.53
Go Mini,Preet Vihar,IIT Delhi,36.77
Bike,Panchsheel Park,Sohna Road,28.46
Go Sedan,Raj Nagar Extension,Tilak Nagar,null
Auto,Tagore Garden,Ardee City,33.84
Go Sedan,Old Gurgaon,Noida Film City,null
Premier Sedan,IGI Airport,Greater Noida,11.17
Go Sedan,Indraprastha,Ashram,null
Bike,Jor Bagh,Noida Sector 18,27.6
Auto,Jahangirpuri,Old Gurgaon,44.04
Go Mini,Lok Kalyan Marg,Sarojini Nagar,40.04
Auto,Lajpat Nagar,Pataudi Chowk,48.62
Go Mini,Yamuna Bank,Madipur,6.07
Go Sedan,INA Market,Paharganj,15.26
eBike,Connaught Place,Nirman Vihar,36.76
Go Mini,Meerut,Gurgaon Sector 56,null
Bike,IIT Delhi,INA Market,null
Premier Sedan,Hero Honda Chowk,Welcome,11.48
eBike,Vinobapuri,Dwarka Mor,12.59
Go Mini,Cyber Hub,Rajiv Chowk,31.74
Go Mini,Hauz Rani,Mehrauli,null
Auto,Rohini West,Jor Bagh,null
Go Sedan,Sikanderpur,Vaishali,null
Go Sedan,Noida Extension,Okhla,38.7
Auto,Madipur,Noida Film City,4.38
Bike,Govindpuri,Uttam Nagar,null
Go Sedan,Rohini West,AIIMS,null
Bike,Dwarka Mor,Yamuna Bank,29.31
Premier Sedan,Patel Chowk,AIIMS,2.35
Go Sedan,IFFCO Chowk,Paharganj,null
Auto,Keshav Puram,Madipur,41.18
Premier Sedan,Green Park,Hauz Khas,49.37
Premier Sedan,Welcome,Sarai Kale Khan,38.83
Go Sedan,Ashram,Manesar,7.37
Auto,Mansarovar Park,Narsinghpur,48.69
Go Mini,Noida Sector 62,Rohini West,18.51
Bike,RK Puram,IIT Delhi,36.02
Bike,Greater Kailash,Vaishali,7.92
Auto,IMT Manesar,Narsinghpur,null
Uber XL,Shastri Park,Punjabi Bagh,null
Auto,Samaypur Badli,Narsinghpur,20.57
eBike,Barakhamba Road,Ghitorni Village,49.73
Auto,Cyber Hub,Sonipat,26.7
Go Mini,Anand Vihar ISBT,Shastri Park,38.89
Auto,Gwal Pahari,Vaishali,30.05
Bike,Indraprastha,Shastri Park,26.69
Bike,Barakhamba Road,Malviya Nagar,48.89
Go Sedan,Khan Market,Ardee City,49.07
Bike,Kadarpur,Patel Chowk,16.41
eBike,Hauz Rani,Vidhan Sabha,49.85
Auto,Saket,Vasant Kunj,null
Auto,Jor Bagh,Basai Dhankot,null
Premier Sedan,Samaypur Badli,Maidan Garhi,36.43
Go Sedan,Saket A Block,Vasant Kunj,12.32
Bike,Huda City Centre,Saket,21.61
Go Mini,Shastri Park,Raj Nagar Extension,3.88
Premier Sedan,Azadpur,Janakpuri,14.94
Go Mini,Satguru Ram Singh Marg,Govindpuri,7.03
Go Sedan,Ashok Park Main,South Extension,37.69
Bike,Bhiwadi,Seelampur,null
Premier Sedan,Tis Hazari,Botanical Garden,41.21
Bike,Rajiv Chowk,Noida Sector 18,null
Premier Sedan,Arjangarh,IMT Manesar,29.02
Bike,Patel Chowk,Dwarka Mor,13.87
Go Sedan,Palam Vihar,Huda City Centre,41.05
Auto,Indraprastha,IFFCO Chowk,7.78
Auto,Panchsheel Park,Botanical Garden,36.27
Go Mini,Bahadurgarh,New Colony,null
Premier Sedan,Huda City Centre,Jor Bagh,null
Go Sedan,Khan Market,Subhash Chowk,null
Bike,Panchsheel Park,Subhash Nagar,16.94
Premier Sedan,Dilshad Garden,Huda City Centre,38.08
Go Mini,Raj Nagar Extension,Patel Chowk,null
Auto,Adarsh Nagar,Welcome,7.46
Auto,Palam Vihar,Udyog Vihar Phase 4,20.8
Premier Sedan,Lajpat Nagar,Udyog Vihar Phase 4,null
Go Sedan,Golf Course Road,Welcome,null
Auto,Kalkaji,Jahangirpuri,8.24
Premier Sedan,New Colony,Dilshad Garden,28.75
Bike,Subhash Nagar,IMT Manesar,null
Premier Sedan,Ghitorni Village,DLF City Court,null
eBike,Noida Film City,Noida Extension,null
Go Sedan,Seelampur,Cyber Hub,null
Go Mini,Basai Dhankot,Lok Kalyan Marg,null
Bike,Ardee City,Kaushambi,null
Go Mini,Udyog Vihar Phase 4,Ghitorni Village,30.69
Go Mini,Botanical Garden,Noida Extension,null
Premier Sedan,Tughlakabad,Sultanpur,9.44
Bike,DLF City Court,Golf Course Road,11.46
Bike,Botanical Garden,Ashok Vihar,18.67
eBike,Sadar Bazar Gurgaon,New Colony,44.66
Bike,Chandni Chowk,Uttam Nagar,null
Bike,IMT Manesar,Model Town,28.5
Go Sedan,Preet Vihar,Netaji Subhash Place,null
Auto,Udyog Vihar,Rajiv Nagar,9.39
Go Mini,Rithala,New Colony,19.67
Go Mini,Satguru Ram Singh Marg,Nehru Place,45.95
eBike,Janakpuri,Bahadurgarh,null
Premier Sedan,Dwarka Mor,Paharganj,null
Bike,Rohini West,Rajiv Chowk,null
Auto,Greater Kailash,Shastri Park,23.54
Auto,DLF Phase 3,Sikanderpur,37.57
Bike,Sultanpur,Adarsh Nagar,48.34
Bike,Adarsh Nagar,India Gate,null
Auto,Malviya Nagar,Okhla,13.21
Premier Sedan,Civil Lines Gurgaon,Ghitorni,33.16
Go Sedan,Punjabi Bagh,Vinobapuri,null
Go Mini,Sultanpur,Saket,17.31
Bike,Ghitorni,Ardee City,37.93
Go Mini,Jor Bagh,Nehru Place,37.4
Go Sedan,Ardee City,Basai Dhankot,null
Auto,Moolchand,ITO,28.6
Go Mini,GTB Nagar,Saidulajab,38.66
eBike,Ardee City,Paharganj,39.67
Go Sedan,Raj Nagar Extension,Paschim Vihar,null
Auto,Narsinghpur,Sikanderpur,42.26
Go Sedan,Shastri Park,Seelampur,null
Auto,South Extension,Tughlakabad,28.14
Go Mini,Barakhamba Road,Rohini West,12.12
Go Sedan,IMT Manesar,Arjangarh,48.57
Go Sedan,Vatika Chowk,RK Puram,30.58
Auto,Nirman Vihar,Rajouri Garden,18.74
Go Mini,Vishwavidyalaya,Kherki Daula Toll,null
Go Sedan,IGNOU Road,South Extension,42.88
eBike,Pulbangash,Chanakyapuri,12.82
Go Sedan,Mandi House,Netaji Subhash Place,18.48
Go Sedan,Hauz Khas,Shahdara,null
Go Sedan,Delhi Gate,Greater Kailash,9.14
Auto,Udyog Vihar,Tughlakabad,3.81
Go Mini,Karkarduma,Connaught Place,26.65
Premier Sedan,Adarsh Nagar,Chhatarpur,43.07
Bike,Manesar,Aya Nagar,10.75
Auto,Mundka,Indirapuram,null
Auto,Vaishali,Palam Vihar,null
Auto,Gwal Pahari,Pragati Maidan,null
Premier Sedan,INA Market,Anand Vihar ISBT,null
Go Mini,Old Gurgaon,Shahdara,19.57
Auto,IGI Airport,Udyog Bhawan,42.06
Auto,Hauz Khas,India Gate,31.41
eBike,GTB Nagar,Ramesh Nagar,23.03
Go Mini,Panipat,Seelampur,19.91
Premier Sedan,Kirti Nagar,Botanical Garden,34.89
Bike,IMT Manesar,Subhash Nagar,49.23
eBike,Mansarovar Park,Malviya Nagar,3.18
Auto,Udyog Bhawan,Chandni Chowk,12.76
Go Mini,Keshav Puram,Uttam Nagar,20.3
Auto,Lajpat Nagar,Pitampura,4.6
Go Mini,Indirapuram,Satguru Ram Singh Marg,23.28
Bike,Noida Sector 18,Green Park,null
Go Mini,New Delhi Railway Station,Gurgaon Sector 56,36.23
Go Mini,Central Secretariat,Cyber Hub,24.2
Bike,Saket A Block,Adarsh Nagar,8.28
eBike,Badarpur,Jama Masjid,29.75
Go Sedan,Gurgaon Sector 56,Sohna Road,43.55
Premier Sedan,Jhilmil,Badarpur,null
Go Mini,Palam Vihar,Karol Bagh,9.54
Auto,Indirapuram,Karol Bagh,null
Go Mini,Pragati Maidan,Gwal Pahari,null
Auto,Panipat,Narsinghpur,15.62
Go Mini,Paharganj,Rajiv Chowk,9.18
Go Mini,Cyber Hub,Inderlok,null
Go Sedan,Dilshad Garden,Ashram,4.99
Uber XL,Barakhamba Road,Vaishali,44.94
Auto,Pulbangash,Maidan Garhi,null
Auto,Meerut,Punjabi Bagh,17.72
Go Mini,Saket A Block,Ghaziabad,8.14
Go Mini,Chandni Chowk,Noida Extension,null
Auto,Chandni Chowk,Hauz Khas,null
Go Sedan,Greater Noida,Udyog Vihar,null
eBike,Greater Noida,Ashok Park Main,34.42
Go Mini,New Colony,Botanical Garden,null
Go Sedan,Subhash Chowk,Sohna Road,19.11
Go Mini,Kaushambi,Khan Market,null
Go Mini,Narsinghpur,Vaishali,null
Go Mini,Saket,Narsinghpur,8.69
Go Sedan,Peeragarhi,Udyog Vihar,17.6
Bike,Bahadurgarh,Pitampura,35.07
Go Mini,Moolchand,Bhiwadi,8.78
Go Mini,Vasant Kunj,Pragati Maidan,8.98
Go Sedan,Narsinghpur,ITO,45.62
Auto,Pragati Maidan,Satguru Ram Singh Marg,null
Go Sedan,Ardee City,Golf Course Road,31.91
Uber XL,Punjabi Bagh,New Colony,12.66
Go Sedan,Kashmere Gate,Gwal Pahari,35.3
Go Mini,Vatika Chowk,Sadar Bazar Gurgaon,23.92
Go Sedan,Netaji Subhash Place,Botanical Garden,null
eBike,Ghaziabad,Sonipat,18.37
Go Sedan,Rohini West,Jor Bagh,31.47
Bike,AIIMS,Rajouri Garden,null
Bike,Panipat,Raj Nagar Extension,27.43
eBike,Kadarpur,Dwarka Sector 21,null
Go Sedan,Madipur,Manesar,29.03
Bike,Shastri Park,Ashok Park Main,20.9
Go Mini,Dilshad Garden,IFFCO Chowk,40.01
Go Mini,Cyber Hub,Noida Extension,8.06
Go Sedan,Lajpat Nagar,Lok Kalyan Marg,30.08
Go Mini,Kashmere Gate ISBT,Nirman Vihar,11.31
Go Sedan,Ghitorni,Jahangirpuri,null
Auto,Panipat,Tagore Garden,43.33
Go Mini,Moolchand,Gurgaon Sector 56,23.65
Auto,AIIMS,Vasant Kunj,12.81
Go Sedan,Mayur Vihar,Samaypur Badli,40.97
Auto,Okhla,Shahdara,23.39
Premier Sedan,Pulbangash,Karol Bagh,46.44
Go Mini,Paharganj,Barakhamba Road,null
Bike,Sarojini Nagar,Noida Sector 62,null
Auto,Subhash Nagar,Narsinghpur,3.25
Uber XL,Raj Nagar Extension,Hero Honda Chowk,null
Bike,Paschim Vihar,Kherki Daula Toll,43.79
Premier Sedan,Jor Bagh,New Delhi Railway Station,null
Premier Sedan,Hauz Rani,Yamuna Bank,null
Bike,Dilshad Garden,Faridabad Sector 15,32.82
Bike,Karkarduma,Tagore Garden,19.82
Auto,Faridabad Sector 15,Peeragarhi,40
Go Mini,Qutub Minar,Welcome,40.66
Go Mini,Sushant Lok,Civil Lines Gurgaon,10.89
eBike,DLF City Court,Lok Kalyan Marg,null
eBike,Dwarka Sector 21,Rajiv Chowk,null
Go Mini,Dwarka Sector 21,Govindpuri,41.4
Bike,Gwal Pahari,Pitampura,34.71
Auto,Indirapuram,Chandni Chowk,34.68
Auto,Tughlakabad,New Colony,26.32
eBike,Sarojini Nagar,RK Puram,null
eBike,Vasant Kunj,Huda City Centre,13.5
Auto,Noida Extension,Okhla,null
Uber XL,Okhla,INA Market,null
Go Mini,Rajiv Chowk,Welcome,11.82
Bike,Noida Film City,Ghitorni,null
Go Mini,Vinobapuri,Mansarovar Park,null
Go Sedan,Civil Lines Gurgaon,Vatika Chowk,12.7
Auto,Ghaziabad,Sohna Road,25.71
Bike,Tilak Nagar,Botanical Garden,1.24
Auto,Punjabi Bagh,Khan Market,6.61
Go Sedan,Pragati Maidan,Manesar,null
Auto,Rohini West,Gurgaon Railway Station,12.56
Premier Sedan,Shastri Park,Tughlakabad,5.42
Go Sedan,Delhi Gate,Saket,8.12
Premier Sedan,Model Town,Rithala,2.73
Auto,Indraprastha,Shastri Nagar,36
Go Mini,Delhi Gate,Greater Noida,38.16
Go Mini,Paschim Vihar,Mandi House,8.06
Bike,IIT Delhi,Kherki Daula Toll,4.15
eBike,Netaji Subhash Place,Gurgaon Sector 29,16.7
Auto,Rohini East,Kaushambi,18.83
Go Mini,Ashram,AIIMS,49.95
Auto,Indirapuram,Indraprastha,20.92
Premier Sedan,Sikanderpur,Kaushambi,null
Bike,Vinobapuri,Udyog Vihar,null
Premier Sedan,Khandsa,Karol Bagh,19.56
Bike,Hero Honda Chowk,Yamuna Bank,41.14
Go Mini,Pitampura,Ardee City,2.84
Go Mini,Pragati Maidan,Vidhan Sabha,null
Auto,AIIMS,Paschim Vihar,16.41
Auto,Basai Dhankot,Indirapuram,18.11
Bike,Uttam Nagar,Chanakyapuri,33.14
Premier Sedan,Anand Vihar ISBT,Ghaziabad,null
Bike,Akshardham,Preet Vihar,null
Premier Sedan,IMT Manesar,Anand Vihar,null
Go Mini,Bahadurgarh,Govindpuri,41.78
Premier Sedan,Netaji Subhash Place,Noida Extension,8.55
Go Mini,Ardee City,Connaught Place,null
Auto,Jahangirpuri,Saket,38.69
Go Mini,Keshav Puram,Sushant Lok,28.51
Go Sedan,Ghaziabad,Bahadurgarh,49
Auto,Kashmere Gate ISBT,Narsinghpur,15.82
Auto,Central Secretariat,Rajiv Chowk,46.75
Go Sedan,Saidulajab,Kalkaji,null
Go Sedan,Basai Dhankot,Karkarduma,17.94
Go Sedan,Greater Noida,Sushant Lok,null
Go Sedan,Paschim Vihar,Saket,33.29
Bike,Mansarovar Park,Central Secretariat,48.44
Uber XL,Vaishali,Gurgaon Sector 56,16.97
Bike,Karkarduma,IGI Airport,null
Auto,Huda City Centre,Peeragarhi,null
Auto,DLF Phase 3,Anand Vihar,null
Bike,Kherki Daula Toll,Rajouri Garden,12.28
Go Mini,Panipat,Hauz Rani,null
Go Mini,Gurgaon Railway Station,MG Road,45.91
Bike,Dilshad Garden,Jama Masjid,48.33
Bike,Moti Nagar,Mundka,null
Go Sedan,Dwarka Sector 21,Arjangarh,14.16
Auto,South Extension,Okhla,26.44
Go Sedan,Khan Market,Basai Dhankot,null
Go Sedan,Pragati Maidan,IGNOU Road,null
eBike,Yamuna Bank,Gurgaon Sector 56,null
Bike,Indirapuram,Ashok Vihar,40.61
eBike,Meerut,IGNOU Road,22.06
Auto,Punjabi Bagh,Vidhan Sabha,32.21
Go Sedan,Gurgaon Sector 56,Samaypur Badli,33.07
Auto,Badshahpur,IGI Airport,null
Premier Sedan,Ambience Mall,South Extension,4.01
Go Mini,Lok Kalyan Marg,Jor Bagh,null
eBike,Civil Lines Gurgaon,Model Town,2.14
Bike,Old Gurgaon,IMT Manesar,null
Auto,Ashok Park Main,Subhash Nagar,30.94
Premier Sedan,Vishwavidyalaya,Rohini,11.04
eBike,Ashok Park Main,Ghitorni,42.71
Go Sedan,Rohini East,ITO,37.66
Go Mini,Jor Bagh,Kherki Daula Toll,12.88
Go Sedan,Jama Masjid,Samaypur Badli,5.28
Auto,Paschim Vihar,Maidan Garhi,48.93
Auto,Seelampur,ITO,null
Uber XL,Old Gurgaon,Shastri Park,null
Bike,Rohini West,South Extension,38.98
Auto,AIIMS,Ashok Park Main,35.67
Premier Sedan,Akshardham,RK Puram,12.87
Go Mini,Udyog Bhawan,Karol Bagh,38.13
Auto,Barakhamba Road,Saket,null
Uber XL,Samaypur Badli,Nawada,null
Bike,Saidulajab,Udyog Vihar Phase 4,null
eBike,Central Secretariat,Okhla,24.71
Uber XL,Gurgaon Railway Station,Gurgaon Sector 56,49.95
Go Sedan,Sohna Road,Moti Nagar,38.72
Premier Sedan,Huda City Centre,Greater Kailash,45.71
Go Sedan,Okhla,Shastri Nagar,null
Go Sedan,Rajouri Garden,Netaji Subhash Place,23.26
Go Mini,Malviya Nagar,Akshardham,46.99
Premier Sedan,Saidulajab,Azadpur,null
Go Mini,Indirapuram,Welcome,null
Premier Sedan,India Gate,Rohini East,null
Go Mini,Udyog Vihar Phase 4,Ghaziabad,27.47
Premier Sedan,GTB Nagar,Barakhamba Road,44.62
Go Mini,Uttam Nagar,Sarai Kale Khan,null
Uber XL,GTB Nagar,Ramesh Nagar,null
Bike,Madipur,Shahdara,23.17
Bike,Bahadurgarh,Munirka,48.11
Go Sedan,Sadar Bazar Gurgaon,Faridabad Sector 15,null
Bike,Ashok Vihar,Mundka,null
Go Sedan,Model Town,Anand Vihar ISBT,32.96
Auto,Barakhamba Road,Adarsh Nagar,41.18
Auto,Madipur,Jama Masjid,null
Auto,Kadarpur,Sadar Bazar Gurgaon,18.1
Auto,Lal Quila,Subhash Nagar,3.35
eBike,Ramesh Nagar,Rohini,null
Go Mini,Mansarovar Park,Saket,null
Go Sedan,Kalkaji,Karkarduma,8.25
Go Mini,Govindpuri,Paschim Vihar,22.27
Bike,Faridabad Sector 15,Ghitorni,null
Bike,Malviya Nagar,Subhash Nagar,null
Go Sedan,Gurgaon Sector 29,Sadar Bazar Gurgaon,25.72
Auto,Adarsh Nagar,Shastri Park,36.71
Auto,Bhiwadi,New Colony,34.69
eBike,Subhash Nagar,Shivaji Park,null
Go Mini,Jama Masjid,Samaypur Badli,null
Bike,Kherki Daula Toll,Kirti Nagar,49.17
Bike,Central Secretariat,Lajpat Nagar,29.85
Bike,Mansarovar Park,Ashok Vihar,38.88
Go Mini,Meerut,Nehru Place,null
Auto,Golf Course Road,Kalkaji,29.2
Go Mini,Sikanderpur,Seelampur,48.31
Uber XL,Malviya Nagar,Ghitorni Village,19.45
Go Mini,Ramesh Nagar,Kashmere Gate ISBT,6.83
Premier Sedan,Anand Vihar ISBT,Jama Masjid,2.15
Premier Sedan,Akshardham,Ghitorni,null
Bike,Udyog Vihar Phase 4,Kalkaji,8.39
Go Mini,Barakhamba Road,Shastri Nagar,29.17
Auto,Jhilmil,Dwarka Mor,33.15
Bike,Inderlok,GTB Nagar,15.34
Go Mini,Satguru Ram Singh Marg,Ambience Mall,26.19
Auto,Dwarka Mor,Kirti Nagar,27.4
Auto,DLF Phase 3,Sultanpur,5.02
eBike,Khan Market,Dwarka Mor,11.28
Go Sedan,India Gate,Panchsheel Park,29.19
Bike,Kanhaiya Nagar,Jhilmil,null
Go Sedan,Basai Dhankot,Bhiwadi,null
Go Mini,India Gate,Hauz Khas,7.24
Premier Sedan,Gurgaon Sector 56,Vishwavidyalaya,22.82
eBike,South Extension,IMT Manesar,null
Premier Sedan,Lajpat Nagar,Ashram,29.63
Bike,South Extension,Udyog Vihar,42.74
Go Mini,Connaught Place,Akshardham,40.47
Premier Sedan,Nirman Vihar,Ghitorni,11.22
eBike,South Extension,Kanhaiya Nagar,null
Go Mini,Chanakyapuri,Khan Market,33.45
Premier Sedan,Chandni Chowk,RK Puram,36.7
Bike,Azadpur,Vaishali,15.88
Uber XL,IGI Airport,Udyog Bhawan,26.14
Premier Sedan,Saket,Yamuna Bank,17.22
eBike,Model Town,Udyog Vihar Phase 4,13.99
Premier Sedan,Seelampur,Delhi Gate,null
Auto,Noida Sector 62,Vasant Kunj,41.64
Go Mini,GTB Nagar,Kherki Daula Toll,39.03
Auto,Bhikaji Cama Place,Faridabad Sector 15,null
